event_id,user_id,event_date,time,event_name,feature_name,session_duration_min
1,1,2025-09-26,12:36:44,Signup,,0
2,1,2025-09-29,12:36:44,Email Verification,,0
3,1,2025-10-01,12:36:44,First Product Use,,17
4,1,2025-11-26,12:36:44,Feature Use,Reports,7
5,1,2025-11-17,12:36:44,Feature Use,Integrations,27
6,1,2025-10-02,12:36:44,Feature Use,Dashboard,33
7,1,2025-10-03,12:36:44,Feature Use,Export,37
8,2,2025-07-06,6:41:18,Signup,,0
9,2,2025-07-10,6:41:18,Email Verification,,0
10,2,2025-07-11,6:41:18,First Product Use,,14
11,2,2025-08-21,6:41:18,Feature Use,Integrations,42
12,2,2025-07-19,6:41:18,Feature Use,Export,18
13,2,2025-08-20,6:41:18,Feature Use,Collaboration,18
14,3,2025-09-27,11:57:30,Signup,,0
15,3,2025-09-29,11:57:30,Email Verification,,0
16,3,2025-10-03,11:57:30,First Product Use,,11
17,3,2025-10-16,11:57:30,Feature Use,Export,13
18,3,2025-10-09,11:57:30,Feature Use,Export,27
19,3,2025-10-05,11:57:30,Feature Use,Collaboration,5
20,4,2025-11-07,8:42:47,Signup,,0
21,4,2025-11-09,8:42:47,Email Verification,,0
22,5,2025-09-02,12:03:08,Signup,,0
23,6,2025-06-04,2:38:12,Signup,,0
24,6,2025-06-06,2:38:12,Email Verification,,0
25,6,2025-06-13,2:38:12,First Product Use,,3
26,6,2025-07-08,2:38:12,Feature Use,Automation,36
27,6,2025-08-02,2:38:12,Feature Use,Automation,25
28,6,2025-07-28,2:38:12,Feature Use,Dashboard,27
29,6,2025-07-19,2:38:12,Feature Use,Integrations,27
30,6,2025-07-20,2:38:12,Feature Use,Notifications,39
31,6,2025-06-23,2:38:12,Feature Use,Notifications,30
32,6,2025-07-11,2:38:12,Feature Use,Export,10
33,6,2025-06-19,2:38:12,Purchase,,0
34,6,2025-07-15,2:38:12,Subscription Renewal,,0
35,7,2025-01-26,8:41:29,Signup,,0
36,8,2025-11-06,10:37:10,Signup,,0
37,9,2025-06-18,7:43:06,Signup,,0
38,10,2025-11-01,10:04:58,Signup,,0
39,10,2025-11-05,10:04:58,Email Verification,,0
40,10,2025-11-12,10:04:58,First Product Use,,3
41,10,2025-11-30,10:04:58,Feature Use,Export,39
42,10,2025-12-05,10:04:58,Feature Use,Notifications,23
43,10,2026-01-10,10:04:58,Feature Use,Collaboration,29
44,10,2025-11-28,10:04:58,Feature Use,Integrations,8
45,10,2025-11-28,10:04:58,Feature Use,Automation,8
46,10,2025-12-10,10:04:58,Feature Use,Notifications,9
47,11,2025-12-05,2:05:11,Signup,,0
48,11,2025-12-07,2:05:11,Email Verification,,0
49,12,2025-10-05,1:30:28,Signup,,0
50,12,2025-10-06,1:30:28,Email Verification,,0
51,12,2025-10-13,1:30:28,First Product Use,,15
52,12,2025-11-29,1:30:28,Feature Use,Reports,12
53,12,2025-12-07,1:30:28,Feature Use,Integrations,14
54,12,2025-11-14,1:30:28,Feature Use,Automation,29
55,12,2025-12-02,1:30:28,Feature Use,Automation,29
56,12,2025-11-15,1:30:28,Feature Use,Export,11
57,12,2025-11-30,1:30:28,Feature Use,Integrations,9
58,12,2025-10-21,1:30:28,Feature Use,Reports,3
59,13,2025-04-22,10:35:19,Signup,,0
60,13,2025-04-26,10:35:19,Email Verification,,0
61,13,2025-05-04,10:35:19,First Product Use,,4
62,13,2025-06-06,10:35:19,Feature Use,Reports,38
63,13,2025-06-12,10:35:19,Feature Use,Reports,14
64,13,2025-06-20,10:35:19,Feature Use,Notifications,13
65,13,2025-05-06,10:35:19,Purchase,,0
66,13,2025-06-10,10:35:19,Subscription Renewal,,0
67,14,2025-09-03,10:41:27,Signup,,0
68,14,2025-09-07,10:41:27,Email Verification,,0
69,14,2025-09-09,10:41:27,First Product Use,,4
70,14,2025-10-16,10:41:27,Feature Use,Reports,27
71,14,2025-10-18,10:41:27,Feature Use,Export,30
72,14,2025-10-23,10:41:27,Feature Use,Collaboration,37
73,14,2025-09-29,10:41:27,Feature Use,Reports,24
74,14,2025-10-22,10:41:27,Feature Use,Automation,8
75,14,2025-10-16,10:41:27,Feature Use,Notifications,20
76,14,2025-10-24,10:41:27,Feature Use,Dashboard,25
77,14,2025-10-21,10:41:27,Feature Use,Collaboration,24
78,14,2025-09-13,10:41:27,Purchase,,0
79,15,2025-05-02,8:07:30,Signup,,0
80,15,2025-05-02,8:07:30,Email Verification,,0
81,15,2025-05-03,8:07:30,First Product Use,,24
82,15,2025-06-02,8:07:30,Feature Use,Dashboard,3
83,15,2025-06-18,8:07:30,Feature Use,Integrations,36
84,15,2025-05-25,8:07:30,Feature Use,Collaboration,22
85,15,2025-05-28,8:07:30,Feature Use,Collaboration,42
86,15,2025-06-13,8:07:30,Feature Use,Notifications,31
87,15,2025-06-24,8:07:30,Feature Use,Integrations,34
88,15,2025-05-12,8:07:30,Feature Use,Reports,37
89,15,2025-06-12,8:07:30,Feature Use,Integrations,12
90,16,2025-09-04,12:54:45,Signup,,0
91,16,2025-09-08,12:54:45,Email Verification,,0
92,17,2025-03-27,4:54:12,Signup,,0
93,17,2025-03-30,4:54:12,Email Verification,,0
94,17,2025-04-02,4:54:12,First Product Use,,8
95,17,2025-05-31,4:54:12,Feature Use,Integrations,25
96,17,2025-04-20,4:54:12,Feature Use,Notifications,33
97,17,2025-05-11,4:54:12,Feature Use,Collaboration,18
98,17,2025-05-21,4:54:12,Feature Use,Export,13
99,17,2025-04-16,4:54:12,Feature Use,Integrations,14
100,17,2025-05-01,4:54:12,Feature Use,Reports,20
101,17,2025-04-10,4:54:12,Feature Use,Dashboard,29
102,17,2025-05-15,4:54:12,Feature Use,Automation,44
103,17,2025-05-27,4:54:12,Feature Use,Dashboard,41
104,17,2025-04-22,4:54:12,Purchase,,0
105,17,2025-05-28,4:54:12,Subscription Renewal,,0
106,18,2025-02-27,3:45:05,Signup,,0
107,18,2025-03-03,3:45:05,Email Verification,,0
108,18,2025-03-11,3:45:05,First Product Use,,23
109,18,2025-03-23,3:45:05,Feature Use,Integrations,39
110,18,2025-03-28,3:45:05,Feature Use,Integrations,32
111,18,2025-04-08,3:45:05,Feature Use,Integrations,3
112,18,2025-04-10,3:45:05,Feature Use,Collaboration,8
113,18,2025-04-19,3:45:05,Feature Use,Reports,14
114,19,2025-06-11,11:56:07,Signup,,0
115,19,2025-06-12,11:56:07,Email Verification,,0
116,19,2025-06-16,11:56:07,First Product Use,,17
117,19,2025-08-12,11:56:07,Feature Use,Dashboard,8
118,19,2025-08-08,11:56:07,Feature Use,Reports,4
119,19,2025-06-19,11:56:07,Feature Use,Collaboration,17
120,19,2025-07-12,11:56:07,Feature Use,Collaboration,4
121,20,2025-08-03,3:08:27,Signup,,0
122,20,2025-08-06,3:08:27,Email Verification,,0
123,21,2025-02-22,7:56:13,Signup,,0
124,21,2025-02-22,7:56:13,Email Verification,,0
125,21,2025-03-02,7:56:13,First Product Use,,10
126,21,2025-04-09,7:56:13,Feature Use,Export,11
127,21,2025-04-04,7:56:13,Feature Use,Integrations,15
128,21,2025-03-03,7:56:13,Feature Use,Integrations,23
129,21,2025-03-27,7:56:13,Feature Use,Automation,6
130,21,2025-04-08,7:56:13,Feature Use,Automation,42
131,21,2025-04-22,7:56:13,Feature Use,Automation,43
132,21,2025-03-18,7:56:13,Feature Use,Dashboard,25
133,21,2025-03-12,7:56:13,Feature Use,Reports,37
134,21,2025-03-04,7:56:13,Feature Use,Export,7
135,21,2025-03-09,7:56:13,Purchase,,0
136,22,2025-03-11,4:11:17,Signup,,0
137,23,2025-02-08,5:06:09,Signup,,0
138,23,2025-02-10,5:06:09,Email Verification,,0
139,24,2025-04-17,6:05:51,Signup,,0
140,24,2025-04-21,6:05:51,Email Verification,,0
141,24,2025-04-29,6:05:51,First Product Use,,4
142,24,2025-05-14,6:05:51,Feature Use,Integrations,5
143,24,2025-05-30,6:05:51,Feature Use,Notifications,23
144,24,2025-05-05,6:05:51,Feature Use,Notifications,19
145,24,2025-06-09,6:05:51,Feature Use,Reports,14
146,24,2025-06-01,6:05:51,Feature Use,Notifications,6
147,24,2025-06-21,6:05:51,Feature Use,Integrations,12
148,24,2025-06-05,6:05:51,Feature Use,Export,5
149,24,2025-05-05,6:05:51,Feature Use,Integrations,32
150,24,2025-06-21,6:05:51,Feature Use,Dashboard,11
151,25,2025-01-02,4:42:35,Signup,,0
152,25,2025-01-04,4:42:35,Email Verification,,0
153,25,2025-01-10,4:42:35,First Product Use,,10
154,25,2025-01-31,4:42:35,Feature Use,Export,24
155,25,2025-01-13,4:42:35,Feature Use,Reports,40
156,25,2025-03-08,4:42:35,Feature Use,Dashboard,4
157,26,2025-07-04,6:33:56,Signup,,0
158,26,2025-07-05,6:33:56,Email Verification,,0
159,26,2025-07-09,6:33:56,First Product Use,,17
160,26,2025-08-03,6:33:56,Feature Use,Export,17
161,26,2025-07-23,6:33:56,Feature Use,Notifications,25
162,26,2025-07-10,6:33:56,Feature Use,Export,37
163,26,2025-08-29,6:33:56,Feature Use,Notifications,32
164,26,2025-08-07,6:33:56,Feature Use,Automation,38
165,27,2025-01-15,2:45:52,Signup,,0
166,27,2025-01-16,2:45:52,Email Verification,,0
167,27,2025-01-18,2:45:52,First Product Use,,24
168,27,2025-02-22,2:45:52,Feature Use,Notifications,9
169,27,2025-02-13,2:45:52,Feature Use,Export,37
170,27,2025-01-24,2:45:52,Feature Use,Export,5
171,27,2025-02-10,2:45:52,Feature Use,Notifications,14
172,27,2025-01-26,2:45:52,Feature Use,Automation,21
173,27,2025-01-22,2:45:52,Feature Use,Collaboration,6
174,27,2025-02-21,2:45:52,Feature Use,Dashboard,43
175,28,2025-04-24,5:57:13,Signup,,0
176,28,2025-04-27,5:57:13,Email Verification,,0
177,29,2025-03-07,1:33:09,Signup,,0
178,29,2025-03-08,1:33:09,Email Verification,,0
179,30,2025-12-18,6:26:04,Signup,,0
180,30,2025-12-22,6:26:04,Email Verification,,0
181,30,2025-12-28,6:26:04,First Product Use,,6
182,30,2026-01-20,6:26:04,Feature Use,Reports,22
183,30,2026-02-16,6:26:04,Feature Use,Notifications,29
184,30,2026-02-03,6:26:04,Feature Use,Reports,18
185,30,2026-01-05,6:26:04,Feature Use,Collaboration,21
186,30,2026-01-01,6:26:04,Feature Use,Reports,36
187,30,2026-02-06,6:26:04,Feature Use,Notifications,13
188,30,2025-12-29,6:26:04,Purchase,,0
189,31,2025-04-23,5:19:39,Signup,,0
190,31,2025-04-27,5:19:39,Email Verification,,0
191,31,2025-04-29,5:19:39,First Product Use,,24
192,31,2025-06-14,5:19:39,Feature Use,Automation,37
193,31,2025-06-02,5:19:39,Feature Use,Export,34
194,31,2025-05-03,5:19:39,Feature Use,Automation,9
195,31,2025-05-09,5:19:39,Feature Use,Export,28
196,31,2025-05-08,5:19:39,Feature Use,Export,21
197,31,2025-05-30,5:19:39,Feature Use,Export,19
198,31,2025-05-02,5:19:39,Purchase,,0
199,31,2025-06-01,5:19:39,Subscription Renewal,,0
200,32,2025-04-18,4:54:08,Signup,,0
201,32,2025-04-19,4:54:08,Email Verification,,0
202,32,2025-04-19,4:54:08,First Product Use,,23
203,32,2025-05-20,4:54:08,Feature Use,Notifications,42
204,32,2025-06-11,4:54:08,Feature Use,Integrations,20
205,32,2025-04-20,4:54:08,Feature Use,Export,17
206,33,2025-03-08,11:17:46,Signup,,0
207,33,2025-03-09,11:17:46,Email Verification,,0
208,33,2025-03-09,11:17:46,First Product Use,,7
209,33,2025-05-03,11:17:46,Feature Use,Integrations,20
210,33,2025-03-29,11:17:46,Feature Use,Integrations,41
211,33,2025-03-27,11:17:46,Feature Use,Reports,42
212,33,2025-04-28,11:17:46,Feature Use,Automation,19
213,33,2025-03-22,11:17:46,Feature Use,Reports,38
214,33,2025-04-05,11:17:46,Feature Use,Reports,34
215,34,2025-05-04,4:14:50,Signup,,0
216,34,2025-05-08,4:14:50,Email Verification,,0
217,34,2025-05-13,4:14:50,First Product Use,,3
218,34,2025-05-24,4:14:50,Feature Use,Notifications,38
219,34,2025-05-27,4:14:50,Feature Use,Dashboard,38
220,34,2025-07-02,4:14:50,Feature Use,Reports,30
221,35,2025-03-12,6:16:30,Signup,,0
222,35,2025-03-18,6:16:30,Purchase,,0
223,36,2025-11-29,3:10:33,Signup,,0
224,37,2025-06-03,5:08:43,Signup,,0
225,37,2025-06-05,5:08:43,Email Verification,,0
226,37,2025-06-09,5:08:43,First Product Use,,16
227,37,2025-07-07,5:08:43,Feature Use,Dashboard,2
228,37,2025-07-27,5:08:43,Feature Use,Integrations,5
229,37,2025-06-21,5:08:43,Feature Use,Integrations,29
230,37,2025-07-21,5:08:43,Feature Use,Reports,13
231,37,2025-06-27,5:08:43,Feature Use,Automation,34
232,37,2025-06-26,5:08:43,Feature Use,Reports,31
233,38,2025-09-06,7:49:15,Signup,,0
