purchase_id,user_id,purchase_date,time,plan_type,revenue
1,6,2025-06-19,2:38:12,Basic,19.00
2,6,2025-07-15,2:38:12,Basic,19.00
3,13,2025-05-06,10:35:19,Basic,19.00
4,13,2025-06-10,10:35:19,Basic,19.00
5,14,2025-09-13,10:41:27,Basic,29.00
6,17,2025-04-22,4:54:12,Basic,19.00
7,17,2025-05-28,4:54:12,Basic,19.00
8,21,2025-03-09,7:56:13,Enterprise,19.00
9,30,2025-12-29,6:26:04,Enterprise,99.00
10,31,2025-05-02,5:19:39,Basic,49.00
11,31,2025-06-01,5:19:39,Basic,49.00
12,35,2025-03-18,6:16:30,Basic,29.00
13,45,2025-09-05,7:12:50,Enterprise,49.00
14,45,2025-10-16,7:12:50,Enterprise,49.00
15,46,2025-11-30,5:40:06,Basic,19.00
16,46,2026-01-06,5:40:06,Basic,19.00
17,51,2025-11-07,9:13:22,Pro,29.00
18,57,2025-07-23,2:47:31,Basic,19.00
19,57,2025-08-20,2:47:31,Basic,19.00
20,58,2025-08-29,5:24:40,Pro,29.00
21,66,2025-08-24,11:01:39,Pro,19.00
22,67,2025-11-29,2:19:07,Pro,99.00
23,69,2025-07-11,6:21:47,Pro,49.00
24,73,2025-10-06,12:38:31,Basic,19.00
25,73,2025-11-17,12:38:31,Basic,19.00
26,77,2025-02-14,3:42:08,Basic,29.00
27,84,2025-09-02,8:43:49,Pro,49.00
28,91,2025-04-10,6:36:09,Pro,99.00
29,93,2025-05-04,8:49:37,Pro,29.00
30,93,2025-05-31,8:49:37,Pro,29.00
31,94,2025-08-19,10:48:41,Pro,29.00
32,95,2025-08-16,9:35:57,Basic,29.00
33,97,2025-08-18,7:06:53,Pro,29.00
34,97,2025-09-14,7:06:53,Pro,29.00
35,103,2025-10-09,10:53:47,Pro,19.00
36,103,2025-11-18,10:53:47,Pro,19.00
37,109,2025-10-06,3:26:36,Pro,29.00
38,111,2025-02-18,7:10:38,Basic,29.00
39,111,2025-03-26,7:10:38,Basic,29.00
40,114,2025-10-02,12:53:45,Pro,19.00
41,115,2025-08-20,3:20:56,Basic,19.00
42,122,2025-03-25,8:57:16,Basic,19.00
43,122,2025-05-02,8:57:16,Basic,19.00
44,125,2025-05-25,8:51:18,Pro,29.00
45,126,2025-03-28,9:09:28,Basic,99.00
46,126,2025-04-29,9:09:28,Basic,99.00
47,129,2025-07-12,4:09:15,Basic,19.00
48,130,2025-08-27,12:02:15,Pro,29.00
49,133,2025-06-20,5:07:22,Basic,19.00
50,134,2025-07-08,11:20:18,Pro,99.00
