"user_id";"signup_date";"time";"acquisition_channel";"device_type";"country";"user_segment";"age_group";"rn"
1;"2025-09-26";"12:36:44";"Social";"Mobile";"UK";"Premium";"18-24";1
2;"2025-06-07";"06:41:18";"Organic";"Mobile";"Kenya";"Free";"25-34";1
3;"2025-09-27";"11:57:30";"Organic";"Mobile";"UK";"Free";"25-34";1
4;"2025-07-11";"08:42:47";"Social";"Desktop";"Nigeria";"Free";"25-34";1
5;"2025-02-09";"12:03:08";"Paid Ads";"Desktop";"Nigeria";"Premium";"18-24";1
6;"2025-04-06";"02:38:12";"Organic";"Mobile";"Ghana";"Free";"45+";1
7;"2025-01-26";"08:41:29";"Organic";"Mobile";"Nigeria";"Free";"25-34";1
8;"2025-06-11";"10:37:10";"Paid Ads";"Mobile";"Nigeria";"Free";"18-24";1
9;"2025-06-18";"07:43:06";"Paid Ads";"Desktop";"Nigeria";"Free";"25-34";1
10;"2025-01-11";"10:04:58";"Referral";"Mobile";"Ghana";"Free";"25-34";1
11;"2025-05-12";"02:05:11";"Social";"Mobile";"USA";"Free";"25-34";1
12;"2025-05-10";"01:30:28";"Organic";"Desktop";"Ghana";"Free";"25-34";1
13;"2025-04-22";"10:35:19";"Paid Ads";"Tablet";"UK";"Premium";"35-44";1
14;"2025-03-09";"10:41:27";"Paid Ads";"Mobile";"South Africa";"Premium";"45+";1
15;"2025-02-05";"08:07:30";"Paid Ads";"Desktop";"Nigeria";"Free";"18-24";1
16;"2025-04-09";"12:54:45";"Organic";"Mobile";"Nigeria";"Free";"18-24";1
17;"2025-03-27";"04:54:12";"Social";"Tablet";"South Africa";"Premium";"18-24";1
18;"2025-02-27";"03:45:05";"Referral";"Mobile";"Kenya";"Premium";"25-34";1
19;"2025-11-06";"11:56:07";"Paid Ads";"Mobile";"Nigeria";"Free";"18-24";1
20;"2025-03-08";"03:08:27";"Paid Ads";"Desktop";"South Africa";"Free";"35-44";1
21;"2025-02-22";"07:56:13";"Organic";"Mobile";"Ghana";"Premium";"25-34";1
22;"2025-11-03";"04:11:17";"Paid Ads";"Mobile";"Kenya";"Free";"25-34";1
23;"2025-08-02";"05:06:09";"Paid Ads";"Mobile";"UK";"Premium";"25-34";1
24;"2025-04-17";"06:05:51";"Paid Ads";"Desktop";"UK";"Free";"45+";1
25;"2025-02-01";"04:42:35";"Social";"Mobile";"UK";"Free";"18-24";1
26;"2025-04-07";"06:33:56";"Paid Ads";"Desktop";"USA";"Free";"35-44";1
27;"2025-01-15";"02:45:52";"Organic";"Mobile";"Nigeria";"Free";"25-34";1
28;"2025-04-24";"05:57:13";"Referral";"Mobile";"Ghana";"Free";"25-34";1
29;"2025-07-03";"01:33:09";"Organic";"Mobile";"USA";"Premium";"25-34";1
30;"2025-12-18";"06:26:04";"Organic";"Mobile";"South Africa";"Free";"18-24";1
31;"2025-04-23";"05:19:39";"Organic";"Desktop";"UK";"Free";"25-34";1
32;"2025-04-18";"04:54:08";"Paid Ads";"Desktop";"Kenya";"Free";"35-44";1
33;"2025-08-03";"11:17:46";"Referral";"Mobile";"South Africa";"Free";"18-24";1
34;"2025-04-05";"04:14:50";"Paid Ads";"Mobile";"Nigeria";"Free";"25-34";1
35;"2025-12-03";"06:16:30";"Referral";"Desktop";"USA";"Premium";"18-24";1
36;"2025-11-29";"03:10:33";"Paid Ads";"Desktop";"UK";"Free";"25-34";1
37;"2025-03-06";"05:08:43";"Organic";"Desktop";"USA";"Free";"35-44";1
38;"2025-06-09";"07:49:15";"Referral";"Desktop";"Ghana";"Premium";"25-34";1
39;"2025-12-14";"07:37:51";"Organic";"Mobile";"Nigeria";"Free";"25-34";1
40;"2025-05-11";"03:26:06";"Organic";"Desktop";"Nigeria";"Premium";"18-24";1
41;"2025-05-27";"09:30:37";"Paid Ads";"Mobile";"USA";"Premium";"35-44";1
42;"2025-08-21";"02:15:25";"Organic";"Mobile";"Kenya";"Free";"25-34";1
43;"2025-07-15";"03:51:10";"Organic";"Desktop";"Nigeria";"Free";"18-24";1
44;"2025-01-03";"01:53:01";"Paid Ads";"Tablet";"South Africa";"Premium";"25-34";1
45;"2025-05-08";"07:12:50";"Paid Ads";"Desktop";"Kenya";"Free";"18-24";1
46;"2025-11-16";"05:40:06";"Paid Ads";"Mobile";"Ghana";"Free";"35-44";1
47;"2025-11-28";"11:41:39";"Social";"Mobile";"South Africa";"Free";"18-24";1
48;"2025-11-18";"11:26:55";"Paid Ads";"Mobile";"Ghana";"Free";"25-34";1
49;"2025-10-17";"01:58:16";"Referral";"Desktop";"USA";"Premium";"18-24";1
50;"2025-01-29";"02:33:08";"Organic";"Mobile";"Nigeria";"Premium";"25-34";1
51;"2025-10-25";"09:13:22";"Paid Ads";"Desktop";"Kenya";"Premium";"25-34";1
52;"2025-01-31";"07:44:06";"Referral";"Mobile";"Kenya";"Premium";"35-44";1
53;"2025-11-18";"05:01:08";"Paid Ads";"Desktop";"USA";"Free";"25-34";1
54;"2025-09-15";"08:02:16";"Referral";"Tablet";"Kenya";"Free";"18-24";1
55;"2025-07-05";"08:10:14";"Organic";"Mobile";"Kenya";"Free";"18-24";1
56;"2025-09-29";"01:02:09";"Organic";"Mobile";"Ghana";"Free";"45+";1
57;"2025-06-27";"02:47:31";"Paid Ads";"Desktop";"Kenya";"Premium";"25-34";1
58;"2025-08-22";"05:24:40";"Organic";"Mobile";"USA";"Free";"25-34";1
59;"2025-08-22";"08:47:55";"Referral";"Desktop";"USA";"Premium";"45+";1
60;"2025-09-02";"04:22:37";"Organic";"Desktop";"South Africa";"Free";"18-24";1
61;"2025-04-07";"10:01:21";"Social";"Mobile";"Ghana";"Premium";"25-34";1
62;"2025-10-05";"10:42:01";"Social";"Desktop";"Nigeria";"Free";"18-24";1
63;"2025-01-17";"11:08:09";"Organic";"Mobile";"Ghana";"Free";"18-24";1
64;"2025-07-14";"11:16:04";"Organic";"Tablet";"UK";"Free";"18-24";1
65;"2025-04-08";"07:28:01";"Referral";"Mobile";"Kenya";"Free";"35-44";1
66;"2025-08-14";"11:01:39";"Social";"Desktop";"Nigeria";"Free";"25-34";1
67;"2025-11-27";"02:19:07";"Paid Ads";"Mobile";"USA";"Premium";"18-24";1
68;"2025-12-05";"08:32:46";"Organic";"Mobile";"Kenya";"Free";"18-24";1
69;"2025-06-27";"06:21:47";"Paid Ads";"Mobile";"Ghana";"Free";"18-24";1
70;"2025-08-30";"03:08:54";"Paid Ads";"Desktop";"Nigeria";"Free";"35-44";1
71;"2025-01-31";"09:39:55";"Organic";"Mobile";"Kenya";"Free";"25-34";1
72;"2025-05-29";"02:30:20";"Referral";"Desktop";"UK";"Free";"45+";1
73;"2025-10-09";"12:38:31";"Organic";"Mobile";"Kenya";"Free";"35-44";1
